timestamp,price
2024-12-02 00:00:00,8229394.5634694565
2024-12-03 00:00:00,8119571.429365734
2024-12-04 00:00:00,8132280.793336586
2024-12-05 00:00:00,8375977.353592198
2024-12-06 00:00:00,8231416.7169065485
2024-12-07 00:00:00,8464970.958688961
2024-12-08 00:00:00,8448667.239983082
2024-12-09 00:00:00,8571910.322056709
2024-12-10 00:00:00,8260206.599914649
2024-12-11 00:00:00,8203962.751930021
2024-12-12 00:00:00,8580052.513451988
2024-12-13 00:00:00,8483902.580374578
2024-12-14 00:00:00,8596645.448135268
2024-12-15 00:00:00,8597625.468520103
2024-12-16 00:00:00,8881554.115120983
2024-12-17 00:00:00,9007554.68383183
2024-12-18 00:00:00,9004022.533930179
2024-12-19 00:00:00,8546859.515028538
2024-12-20 00:00:00,8328671.598739938
2024-12-21 00:00:00,8298521.002344221
2024-12-22 00:00:00,8257263.337682103
2024-12-23 00:00:00,8078249.823262211
2024-12-24 00:00:00,8054202.695939752
2024-12-25 00:00:00,8407073.241903279
2024-12-26 00:00:00,8486493.435188685
2024-12-27 00:00:00,8200913.465979324
2024-12-28 00:00:00,8054528.601096907
2024-12-29 00:00:00,8128361.966643793
2024-12-30 00:00:00,7997593.586982009
2024-12-31 00:00:00,7946192.383835568
2025-01-01 00:00:00,8002205.904576822
2025-01-02 00:00:00,8077199.302032457
2025-01-03 00:00:00,8310345.9633701835
2025-01-04 00:00:00,8414224.19708667
2025-01-05 00:00:00,8427878.4239662
2025-01-06 00:00:00,8436389.513373233
2025-01-07 00:00:00,8759112.254794147
2025-01-08 00:00:00,8319144.412568171
2025-01-09 00:00:00,8164040.388033881
2025-01-10 00:00:00,7936992.709383915
2025-01-11 00:00:00,8165866.36299033
2025-01-12 00:00:00,8148636.2695123805
2025-01-13 00:00:00,8141298.980047037
2025-01-14 00:00:00,8184723.905778156
2025-01-15 00:00:00,8357100.972177191
2025-01-16 00:00:00,8671475.562827514
2025-01-17 00:00:00,8663111.83095711
2025-01-18 00:00:00,9018449.192336228
2025-01-19 00:00:00,9033786.621687034
2025-01-20 00:00:00,8768042.958785325
2025-01-21 00:00:00,8776811.21901726
2025-01-22 00:00:00,9179681.603091493
2025-01-23 00:00:00,8964946.049272345
2025-01-24 00:00:00,8998507.68711584
2025-01-25 00:00:00,9035194.859879067
2025-01-26 00:00:00,9031820.575388502
2025-01-27 00:00:00,8840730.321759636
2025-01-28 00:00:00,8813004.62310299
2025-01-29 00:00:00,8773589.21760404
2025-01-30 00:00:00,8986342.542373687
2025-01-31 00:00:00,9079030.834732356
2025-02-01 00:00:00,8876282.254884763
2025-02-02 00:00:00,8714560.729715146
2025-02-03 00:00:00,8448647.568321917
2025-02-04 00:00:00,8821899.22031773
2025-02-05 00:00:00,8544188.028439142
2025-02-06 00:00:00,8435196.808124574
2025-02-07 00:00:00,8465025.732744236
2025-02-08 00:00:00,8476794.460583407
2025-02-09 00:00:00,8476775.262421489
2025-02-10 00:00:00,8468155.630744008
2025-02-11 00:00:00,8519902.0973004
2025-02-12 00:00:00,8311326.258525673
2025-02-13 00:00:00,8509967.786199097
2025-02-14 00:00:00,8375908.598984329
2025-02-15 00:00:00,8449165.834342096
2025-02-16 00:00:00,8452533.700253459
2025-02-17 00:00:00,8331280.757968706
2025-02-18 00:00:00,8318633.34814442
2025-02-19 00:00:00,8297394.500778342
2025-02-20 00:00:00,8388981.733716331
2025-02-21 00:00:00,8507227.974250102
2025-02-22 00:00:00,8330049.59390641
2025-02-23 00:00:00,8362407.852954888
2025-02-24 00:00:00,8341958.303704703
2025-02-25 00:00:00,7922797.740624487
2025-02-26 00:00:00,7729282.415455005
2025-02-27 00:00:00,7314307.147526646
2025-02-28 00:00:00,7397416.663356487
2025-03-01 00:00:00,7386259.847331922
2025-03-02 00:00:00,7523008.862171689
2025-03-03 00:00:00,8244472.61232367
2025-03-04 00:00:00,7521257.854514662
2025-03-05 00:00:00,7615008.334491884
2025-03-06 00:00:00,7869430.047939962
2025-03-07 00:00:00,7841736.557001183
2025-03-08 00:00:00,7562231.150267524
2025-03-09 00:00:00,7503958.351863089
2025-03-10 00:00:00,7035607.792612969
2025-03-11 00:00:00,6882112.04135304
2025-03-12 00:00:00,7220111.199834512
2025-03-13 00:00:00,7311397.167011021
2025-03-14 00:00:00,7049331.751158462
2025-03-15 00:00:00,7301205.756783538
2025-03-16 00:00:00,7337203.4861049205
2025-03-17 00:00:00,7182714.546311197
2025-03-18 00:00:00,7307625.213417549
2025-03-19 00:00:00,7166130.900539224
2025-03-20 00:00:00,7495414.341859128
2025-03-21 00:00:00,7275140.94449613
2025-03-22 00:00:00,7224000.906005809
2025-03-23 00:00:00,7205763.671408613
2025-03-24 00:00:00,7377568.408827406
2025-03-25 00:00:00,7471026.999919416
2025-03-26 00:00:00,7490943.665690553
2025-03-27 00:00:00,7448415.462567322
2025-03-28 00:00:00,7474953.075439318
2025-03-29 00:00:00,7216289.858225705
2025-03-30 00:00:00,7072289.607125187
2025-03-31 00:00:00,7044678.366106417
2025-04-01 00:00:00,7049110.1215911815
2025-04-02 00:00:00,7295181.762562074
2025-04-03 00:00:00,7072204.244187081
2025-04-04 00:00:00,7092361.1660758825
2025-04-05 00:00:00,7177434.935222951
2025-04-06 00:00:00,7149914.289024058
2025-04-07 00:00:00,6689389.08502666
2025-04-08 00:00:00,6810911.664670934
2025-04-09 00:00:00,6597493.475585312
2025-04-10 00:00:00,7122745.761241968
2025-04-11 00:00:00,6866025.560636041
2025-04-12 00:00:00,7182775.418149425
